Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 11.38     10.40    10.40 144584865     0.00     0.00  gc_try_alloc
  7.37     17.13     6.73   740807     0.00     0.00  gc_minor
  6.41     22.99     5.86 401930990     0.00     0.00  gc_mark_black
  6.16     28.62     5.63 139437627     0.00     0.00  Cyc_make_vector
  4.65     32.87     4.25 1060669662     0.00     0.00  gc_collector_mark_gray
  4.17     36.68     3.81 522977462     0.00     0.00  Cyc_vector_set
  3.70     40.06     3.38      669     0.01     0.01  gc_sweep
  3.19     42.97     2.91 665024207     0.00     0.00  gc_allocated_bytes
  2.97     45.68     2.71 144585183     0.00     0.00  gc_copy_obj
  2.57     48.03     2.35 450272790     0.00     0.00  Cyc_vector_ref
  2.51     50.32     2.29 1973056446     0.00     0.00  ck_pr_md_load_int
  2.07     52.21     1.89 1257009358     0.00     0.00  Cyc_is_number
  1.86     53.91     1.70 1671277318     0.00     0.00  cell_get
  1.72     55.48     1.57 973234087     0.00     0.00  Cyc_is_vector
  1.67     57.01     1.53 69718790     0.00     0.00  __lambda_133
  1.64     58.51     1.50 522973524     0.00     0.00  add_mutation
  1.62     59.99     1.48 69718943     0.00     0.00  __lambda_132
  1.49     61.35     1.36 69719312     0.00     0.00  __lambda_131
  1.46     62.68     1.33 145934343     0.00     0.00  gc_move
  1.40     63.96     1.28 522986730     0.00     0.00  gc_mut_update
  1.31     65.16     1.20 69719333     0.00     0.00  __lambda_135
  1.31     66.35     1.20 69718101     0.00     0.00  __lambda_134
  1.30     67.54     1.19 312766838     0.00     0.00  __lambda_1775
  1.07     68.52     0.98 559135915     0.00     0.00  mcons
  1.04     69.47     0.95 69720529     0.00     0.00  __lambda_1764
  0.99     70.37     0.90 144584647     0.00     0.00  gc_alloc
  0.95     71.24     0.87 69719831     0.00     0.00  __lambda_1765
  0.94     72.10     0.86                             ck_pr_md_load_uint
  0.91     72.93     0.83 401952594     0.00     0.00  vpbuffer_add
  0.84     73.70     0.77     1023     0.00     0.00  gc_get_heap
  0.83     74.46     0.76 69717896     0.00     0.00  __lambda_1768
  0.81     75.20     0.74 69720453     0.00     0.00  __lambda_1763
  0.74     75.88     0.68  1046384     0.00     0.00  gc_empty_collector_stack
  0.73     76.55     0.67 69719794     0.00     0.00  __lambda_1766
  0.73     77.22     0.67   740878     0.00     0.00  clear_mutations
  0.67     77.83     0.61 69719243     0.00     0.00  Cyc_length
  0.66     78.43     0.60 69720587     0.00     0.00  __lambda_1767
  0.63     79.01     0.58      244     0.00     0.00  Cyc_is_null
  0.59     79.55     0.54 56964987     0.00     0.00  Cyc_num_op_va_list
  0.53     80.03     0.48 144584830     0.00     0.00  gc_fixup_moved_obj
  0.52     80.51     0.48 17733185     0.00     0.00  __lambda_102
  0.51     80.98     0.47 144584795     0.00     0.00  gc_thr_add_to_move_buffer
  0.50     81.44     0.46 69719009     0.00     0.00  __lambda_130
  0.48     81.88     0.44 16947709     0.00     0.00  __lambda_110
  0.46     82.30     0.42 16947205     0.00     0.00  __lambda_113
  0.45     82.71     0.41 71124969     0.00     0.00  Cyc_num_cmp_va_list
  0.42     83.09     0.38 35645478     0.00     0.00  __lambda_103
  0.40     83.46     0.37 17733334     0.00     0.00  __lambda_100
  0.40     83.83     0.37 16947461     0.00     0.00  __lambda_109
  0.40     84.20     0.37 16947239     0.00     0.00  __lambda_111
  0.40     84.57     0.37 16947713     0.00     0.00  __lambda_112
  0.40     84.94     0.37 16947040     0.00     0.00  __lambda_114
  0.38     85.29     0.35  4893197     0.00     0.00  mark_stack_or_heap_obj
  0.37     85.63     0.34 34073070     0.00     0.00  __lambda_116
  0.37     85.97     0.34 69718537     0.00     0.00  Cyc_num_lte
  0.36     86.29     0.33 35645725     0.00     0.00  __lambda_104
  0.35     86.61     0.32 34073167     0.00     0.00  __lambda_115
  0.34     86.92     0.31                             Cyc_io_peek_char
  0.33     87.22     0.30 69717997     0.00     0.00  Cyc_num_lte_op
  0.31     87.50     0.28                             Cyc_is_symbol
  0.30     87.77     0.27                             debug_dump_globals
  0.26     88.01     0.24 17733320     0.00     0.00  __lambda_101
  0.25     88.24     0.23 51985094     0.00     0.00  __lambda_127
  0.25     88.46     0.23 16947155     0.00     0.00  __lambda_108
  0.24     88.68     0.22 52413584     0.00     0.00  Cyc_sub_op
  0.22     88.88     0.20 69720713     0.00     0.00  __lambda_1762
  0.20     89.07     0.19 16947275     0.00     0.00  __lambda_107
  0.20     89.25     0.18 52413371     0.00     0.00  Cyc_sub
  0.19     89.42     0.17 17733346     0.00     0.00  __lambda_99
  0.19     89.59     0.17       91     0.00     0.14  gc_collector_trace
  0.19     89.76     0.17       26     0.01     0.01  vpbuffer_realloc
  0.18     89.92     0.16                             Cyc_set_cdr
  0.14     90.05     0.13 33893916     0.00     0.00  __lambda_1773
  0.13     90.17     0.12      356     0.00     0.00  gc_grow_heap
  0.12     90.28     0.11                             gc_print_stats
